"Idade","AnosCarta","Acidentes","TipoVeiculo","UsoAnual","Classe"
24,4,3,2,9183,"AltoRisco"
78,52,0,3,20618,"BaixoRisco"
68,37,1,1,14500,"BaixoRisco"
26,1,0,3,10916,"AltoRisco"
45,24,3,1,10430,"AltoRisco"
59,39,1,2,13484,"BaixoRisco"
36,11,2,3,9998,"AltoRisco"
26,1,1,1,6318,"BaixoRisco"
53,30,0,1,11574,"BaixoRisco"
62,30,4,1,9974,"AltoRisco"
46,23,4,3,10400,"AltoRisco"
31,8,6,2,10659,"AltoRisco"
43,24,3,2,10172,"AltoRisco"
63,41,1,3,15964,"AltoRisco"
27,6,4,2,8510,"AltoRisco"
40,9,5,2,7533,"AltoRisco"
79,49,1,2,14169,"BaixoRisco"
70,41,0,1,12029,"BaixoRisco"
67,35,2,2,14757,"AltoRisco"
69,37,0,1,14005,"BaixoRisco"
68,41,0,2,14448,"BaixoRisco"
68,47,0,1,10697,"BaixoRisco"
75,55,0,2,15038,"BaixoRisco"
64,34,1,1,12862,"BaixoRisco"
47,15,4,2,11395,"AltoRisco"
72,39,0,3,12352,"BaixoRisco"
63,32,3,2,10836,"AltoRisco"
64,46,2,1,13215,"BaixoRisco"
48,17,3,1,5653,"AltoRisco"
46,22,1,3,11872,"BaixoRisco"
30,5,1,2,8936,"AltoRisco"
71,38,0,1,12521,"BaixoRisco"
30,1,3,1,4391,"AltoRisco"
66,47,1,1,12374,"BaixoRisco"
29,2,1,2,14239,"AltoRisco"
46,26,2,2,11618,"AltoRisco"
29,7,2,1,8271,"AltoRisco"
19,0,0,2,8071,"BaixoRisco"
56,28,0,2,10368,"BaixoRisco"
28,8,4,2,5042,"AltoRisco"
30,12,1,1,8415,"BaixoRisco"
74,42,1,3,12198,"AltoRisco"
37,8,1,2,10766,"AltoRisco"
45,16,2,2,7471,"AltoRisco"
72,52,0,3,14352,"BaixoRisco"
64,35,2,1,13752,"BaixoRisco"
65,40,2,1,13261,"BaixoRisco"
59,36,3,3,16501,"AltoRisco"
49,14,2,2,13345,"AltoRisco"
71,48,0,1,14692,"BaixoRisco"
45,12,1,1,9320,"AltoRisco"
45,21,1,1,9740,"BaixoRisco"
49,25,1,2,8534,"BaixoRisco"
42,15,5,1,7158,"AltoRisco"
24,5,0,3,10995,"BaixoRisco"
74,47,2,2,9714,"AltoRisco"
69,42,0,2,15532,"BaixoRisco"
27,8,6,3,14291,"AltoRisco"
56,38,1,2,14542,"AltoRisco"
70,46,1,1,15380,"BaixoRisco"
35,15,1,3,15850,"BaixoRisco"
67,38,2,2,15305,"BaixoRisco"
19,0,3,1,4534,"AltoRisco"
66,35,1,1,11424,"BaixoRisco"
63,35,3,1,9012,"AltoRisco"
31,11,2,2,11704,"AltoRisco"
69,38,3,2,12321,"AltoRisco"
33,13,2,1,10224,"BaixoRisco"
37,6,2,1,6742,"BaixoRisco"
30,11,2,1,10198,"AltoRisco"
28,2,1,2,9332,"BaixoRisco"
64,36,0,1,15378,"BaixoRisco"
69,45,1,1,9190,"BaixoRisco"
67,46,3,2,15165,"AltoRisco"
80,45,0,2,15859,"BaixoRisco"
